contract,expiry_month,expiry_year,date,price,volume
PWFH26,Mar 2026,2026,05-03-2026,18775.0,1075.0
PWFJ26,Apr 2026,2026,05-03-2026,20593.0,2184.0
PWFK26,May 2026,2026,05-03-2026,20300.0,1134.0
PWFM26,Jun 2026,2026,05-03-2026,19150.0,1209.0
PWFN26,Jul 2026,2026,05-03-2026,18004.0,360.0
PWFQ26,Aug 2026,2026,05-03-2026,17832.0,360.0
PWFU26,Sep 2026,2026,05-03-2026,17539.0,360.0
PWFV26,Oct 2026,2026,05-03-2026,16404.0,210.0
PWFX26,Nov 2026,2026,05-03-2026,16404.0,210.0
PWFZ26,Dec 2026,2026,05-03-2026,16404.0,210.0
PWFF27,Jan 2027,2027,05-03-2026,13932.0,15.0
PWFG27,Feb 2027,2027,05-03-2026,13932.0,15.0
PWFH27,Mar 2027,2027,05-03-2026,13932.0,15.0
PWFJ27,Apr 2027,2027,05-03-2026,15304.0,15.0
PWFK27,May 2027,2027,05-03-2026,15304.0,15.0
PWFM27,Jun 2027,2027,05-03-2026,15304.0,15.0
PWFN27,Jul 2027,2027,05-03-2026,14904.0,15.0
PWFQ27,Aug 2027,2027,05-03-2026,14904.0,15.0
PWFU27,Sep 2027,2027,05-03-2026,14904.0,15.0
PWFV27,Oct 2027,2027,05-03-2026,14904.0,15.0
PWFX27,Nov 2027,2027,05-03-2026,14904.0,15.0
PWFZ27,Dec 2027,2027,05-03-2026,14904.0,15.0
PWFF28,Jan 2028,2028,05-03-2026,13914.0,0.0
PWFG28,Feb 2028,2028,05-03-2026,13914.0,0.0
PWFH28,Mar 2028,2028,05-03-2026,13914.0,0.0
PWFJ28,Apr 2028,2028,05-03-2026,13914.0,0.0
PWFK28,May 2028,2028,05-03-2026,13914.0,0.0
PWFM28,Jun 2028,2028,05-03-2026,13914.0,0.0
PWFN28,Jul 2028,2028,05-03-2026,13914.0,0.0
PWFQ28,Aug 2028,2028,05-03-2026,13914.0,0.0
PWFU28,Sep 2028,2028,05-03-2026,13914.0,0.0
PWFV28,Oct 2028,2028,05-03-2026,13914.0,0.0
PWFX28,Nov 2028,2028,05-03-2026,13914.0,0.0
PWFZ28,Dec 2028,2028,05-03-2026,13914.0,0.0
PWFF29,Jan 2029,2029,05-03-2026,13632.0,0.0
PWFG29,Feb 2029,2029,05-03-2026,13632.0,0.0
PWFH29,Mar 2029,2029,05-03-2026,13632.0,0.0
PWFJ29,Apr 2029,2029,05-03-2026,13632.0,0.0
PWFK29,May 2029,2029,05-03-2026,13632.0,0.0
PWFM29,Jun 2029,2029,05-03-2026,13632.0,0.0
PWFN29,Jul 2029,2029,05-03-2026,13632.0,0.0
PWFQ29,Aug 2029,2029,05-03-2026,13632.0,0.0
PWFU29,Sep 2029,2029,05-03-2026,13632.0,0.0
PWFV29,Oct 2029,2029,05-03-2026,13632.0,0.0
PWFX29,Nov 2029,2029,05-03-2026,13632.0,0.0
PWFZ29,Dec 2029,2029,05-03-2026,13632.0,0.0
PWFF30,Jan 2030,2030,05-03-2026,13164.0,0.0
PWFG30,Feb 2030,2030,05-03-2026,13164.0,0.0
PWFH30,Mar 2030,2030,05-03-2026,13164.0,0.0
PWFJ30,Apr 2030,2030,05-03-2026,13164.0,0.0
PWFK30,May 2030,2030,05-03-2026,13164.0,0.0
PWFM30,Jun 2030,2030,05-03-2026,13164.0,0.0
PWFN30,Jul 2030,2030,05-03-2026,13164.0,0.0
PWFQ30,Aug 2030,2030,05-03-2026,13164.0,0.0
PWFU30,Sep 2030,2030,05-03-2026,13164.0,0.0
PWFV30,Oct 2030,2030,05-03-2026,13164.0,0.0
PWFX30,Nov 2030,2030,05-03-2026,13164.0,0.0
PWFZ30,Dec 2030,2030,05-03-2026,13164.0,0.0
PWFF31,Jan 2031,2031,05-03-2026,12936.0,0.0
PWFG31,Feb 2031,2031,05-03-2026,12936.0,0.0
PWFH31,Mar 2031,2031,05-03-2026,12936.0,0.0
PWFJ31,Apr 2031,2031,05-03-2026,12936.0,0.0
PWFK31,May 2031,2031,05-03-2026,12936.0,0.0
PWFM31,Jun 2031,2031,05-03-2026,12936.0,0.0
PWFN31,Jul 2031,2031,05-03-2026,12936.0,0.0
PWFQ31,Aug 2031,2031,05-03-2026,12936.0,0.0
PWFU31,Sep 2031,2031,05-03-2026,12936.0,0.0
PWFV31,Oct 2031,2031,05-03-2026,12936.0,0.0
PWFX31,Nov 2031,2031,05-03-2026,12936.0,0.0
PWFZ31,Dec 2031,2031,05-03-2026,12936.0,0.0
PWFF32,Jan 2032,2032,05-03-2026,12904.0,0.0
PWFG32,Feb 2032,2032,05-03-2026,12904.0,0.0
PWFH32,Mar 2032,2032,05-03-2026,12904.0,0.0
PWFJ32,Apr 2032,2032,05-03-2026,12904.0,0.0
PWFK32,May 2032,2032,05-03-2026,12904.0,0.0
PWFM32,Jun 2032,2032,05-03-2026,12904.0,0.0
PWFN32,Jul 2032,2032,05-03-2026,12904.0,0.0
PWFQ32,Aug 2032,2032,05-03-2026,12904.0,0.0
PWFU32,Sep 2032,2032,05-03-2026,12904.0,0.0
PWFV32,Oct 2032,2032,05-03-2026,12904.0,0.0
PWFX32,Nov 2032,2032,05-03-2026,12904.0,0.0
PWFZ32,Dec 2032,2032,05-03-2026,12904.0,0.0
